epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,159.826,0.64524,0.78955,0.62866,1.01877,0.9921,1,0.995,0.93875,0.9921,1,0.995,0.95873,0.49452,0.59311,0.63047,0.64844,0.0012971,0.0012971,0.0012971
73,163.745,0.55823,0.62464,0.52884,0.94126,0.9921,1,0.995,0.93875,0.9921,1,0.995,0.95873,0.49452,0.59311,0.63047,0.64844,0.0012872,0.0012872,0.0012872
74,167.669,0.52992,0.63705,0.53759,0.97252,0.99237,1,0.995,0.90972,0.99237,1,0.995,0.8955,0.49886,0.64601,0.61149,0.64563,0.0012773,0.0012773,0.0012773
75,169.62,0.62844,0.80042,0.59157,0.97275,0.99237,1,0.995,0.90972,0.99237,1,0.995,0.8955,0.49886,0.64601,0.61149,0.64563,0.0012674,0.0012674,0.0012674
76,173.542,0.60057,0.69824,0.56406,1.03355,0.99236,1,0.995,0.89052,0.99236,1,0.995,0.91794,0.52192,0.55716,0.60747,0.64984,0.0012575,0.0012575,0.0012575
77,175.506,0.65596,0.87165,0.55515,1.03439,0.99236,1,0.995,0.89052,0.99236,1,0.995,0.91794,0.52192,0.55716,0.60747,0.64984,0.0012476,0.0012476,0.0012476
78,177.474,0.59775,0.72236,0.53643,1.01654,0.99233,1,0.995,0.89853,0.99233,1,0.995,0.9189,0.54653,0.66256,0.69521,0.65935,0.0012377,0.0012377,0.0012377
79,179.442,0.62722,0.69957,0.59728,1.0306,0.99233,1,0.995,0.89853,0.99233,1,0.995,0.9189,0.54653,0.66256,0.69521,0.65935,0.0012278,0.0012278,0.0012278
80,181.414,0.63797,0.7599,0.56772,0.99754,0.99232,1,0.995,0.8955,0.99232,1,0.995,0.89885,0.56483,0.72579,0.67726,0.67303,0.0012179,0.0012179,0.0012179
81,183.368,0.63261,0.68462,0.5386,0.97606,0.99232,1,0.995,0.8955,0.99232,1,0.995,0.89885,0.56483,0.72579,0.67726,0.67303,0.001208,0.001208,0.001208
82,185.35,0.59177,0.70146,0.59794,0.98875,0.99216,1,0.995,0.88535,0.99216,1,0.995,0.87955,0.56817,0.76825,0.59643,0.67112,0.0011981,0.0011981,0.0011981
83,187.307,0.58789,0.81778,0.56045,0.99877,0.99216,1,0.995,0.88535,0.99216,1,0.995,0.87955,0.56817,0.76825,0.59643,0.67112,0.0011882,0.0011882,0.0011882
84,189.07,0.59074,0.70653,0.52935,1.00266,0.99175,1,0.995,0.91238,0.99175,1,0.995,0.90745,0.50911,0.72494,0.60608,0.65251,0.0011783,0.0011783,0.0011783
85,190.702,0.6645,0.75719,0.62177,1.0353,0.99175,1,0.995,0.91238,0.99175,1,0.995,0.90745,0.50911,0.72494,0.60608,0.65251,0.0011684,0.0011684,0.0011684
